getNumber,getMergedAt,getClosedAt,getCreatedAt,getUpdatedAt,getHtmlUrl,getUser().getLogin,numCommits,getBase().getSha,getBase().getLabel,getHead().getSha,getHead().getLabel,getDiffUrl,getTitle,nonAuthorCommentsCount,nonAuthorReviewsCount,closedBy,closedByAuthor,closedByBot,isFPAny,isFPLast
1463,null,Wed Nov 22 11:15:52 CET 2017,Tue Sep 19 02:17:41 CEST 2017,Sat May 11 23:32:05 CEST 2019,https://github.com/Activiti/Activiti/pull/1463,rbonifacio,3,45b290d980e12ce9807d825ed1e8aaa9d912e327,Activiti:master,02385e1720a7ea154707334c1e40798bbb37f2a4,rbonifacio:refactoring-lambda-expressions,https://github.com/Activiti/Activiti/pull/1463.diff,Refactoring to use lambda expressions.,4,0,salaboy,FALSE,FALSE,FALSE,FALSE
1215,null,Wed Nov 22 11:05:09 CET 2017,Wed Jun 07 16:28:37 CEST 2017,Wed Nov 22 11:05:09 CET 2017,https://github.com/Activiti/Activiti/pull/1215,desmorto,2,45b290d980e12ce9807d825ed1e8aaa9d912e327,Activiti:master,5532442e9c61552c4d3d341d9dc162c5a460977f,desmorto:refactor-diamond-operator,https://github.com/Activiti/Activiti/pull/1215.diff,(refactor) some opportunities to use the Diamond-operator,1,0,salaboy,FALSE,FALSE,TRUE,TRUE
292,null,Sat Nov 15 15:57:44 CET 2014,Mon Jun 23 03:56:59 CEST 2014,Sat Nov 15 15:57:44 CET 2014,https://github.com/Activiti/Activiti/pull/292,eduardoraupp,3,4478e5b88a22369897f35a6af17fba1a8ee39ebe,Activiti:master,a79414be680ba632ad4e364aa3bda4af463a7512,eduardoraupp:master,https://github.com/Activiti/Activiti/pull/292.diff,Refactoring request BpmnAutoLayout,3,0,tijsrademakers,FALSE,FALSE,TRUE,FALSE
127,null,Thu Sep 19 14:15:32 CEST 2013,Fri Sep 06 16:50:11 CEST 2013,Thu Jul 03 13:07:23 CEST 2014,https://github.com/Activiti/Activiti/pull/127,smirzai,8,d3c650c1f0f246aaa4ea8a6ffb0746a200b7a3ba,Activiti:master,994c9e0e4c41ec951a10d44a14a0903b2988c41d,smirzai:camelRefactoring,https://github.com/Activiti/Activiti/pull/127.diff,Camel refactoring,1,0,smirzai,TRUE,FALSE,FALSE,FALSE
286,null,Wed Aug 29 00:25:58 CEST 2018,Tue Aug 28 16:46:28 CEST 2018,Wed Aug 29 00:25:58 CEST 2018,https://github.com/AdoptOpenJDK/jitwatch/pull/286,refactormachine,2,81422e4616f7d2a13e0eec3bf0cc5b50c6d02aad,AdoptOpenJDK:master,0e545dc1857ed793e72f7be287da7bdf4a99a20d,refactormachine:feature/refactored-jar-scan,https://github.com/AdoptOpenJDK/jitwatch/pull/286.diff,Refactored JarScan,1,0,chriswhocodes,FALSE,FALSE,FALSE,FALSE
571,null,Wed Feb 17 20:17:10 CET 2016,Wed Feb 17 19:44:09 CET 2016,Wed Feb 17 20:22:07 CET 2016,https://github.com/AgriCraft/AgriCraft/pull/571,RlonRyan,2,c4c6ca1e4e6aa9a9ab8f0151c25fcee8529dadfd,AgriCraft:master,53482db2ad7df6eef81cbc5988f384e3fc371730,AgriCraft:dev-refactor,https://github.com/AgriCraft/AgriCraft/pull/571.diff,Refactor Patch,1,0,RlonRyan,TRUE,FALSE,FALSE,FALSE
8859,null,Tue Apr 23 16:57:37 CEST 2019,Thu Apr 18 23:26:54 CEST 2019,Tue Apr 23 16:57:37 CEST 2019,https://github.com/Alluxio/alluxio/pull/8859,gpang,5,a32972bc8598be699701fae381befd0217b3dd3d,Alluxio:master,47da5b1866173f44f54f726e6acf16e8391a94cf,gpang:server-refactor,https://github.com/Alluxio/alluxio/pull/8859.diff,Refactor common server code,11,0,gpang,TRUE,FALSE,TRUE,FALSE
7747,null,Thu Aug 09 22:04:39 CEST 2018,Thu Aug 09 03:28:34 CEST 2018,Thu Aug 09 22:04:39 CEST 2018,https://github.com/Alluxio/alluxio/pull/7747,aaudiber,6,7111b3daaf8a9277b2636b46312670a93a122400,Alluxio:journal-state-refactor,fe3b873fef93d072194321b5733c0a6bfd824182,aaudiber:journal-state-refactor-wip,https://github.com/Alluxio/alluxio/pull/7747.diff,[WIP] Journal state refactor,12,0,aaudiber,TRUE,FALSE,TRUE,FALSE
7742,null,Thu Aug 09 03:27:52 CEST 2018,Wed Aug 08 02:13:54 CEST 2018,Thu Aug 09 03:29:46 CEST 2018,https://github.com/Alluxio/alluxio/pull/7742,aaudiber,23,27c7641af9204b01b3ab13c484061f533955e5d6,Alluxio:journal-state-refactor,b5e1e75ccaaaf1a1db9d908f251df78cf2fa91bc,aaudiber:journal-state-refactor-wip,https://github.com/Alluxio/alluxio/pull/7742.diff,[WIP] Journal state refactor,14,0,aaudiber,TRUE,FALSE,TRUE,FALSE
7719,null,Wed Aug 08 02:15:37 CEST 2018,Wed Aug 01 08:33:53 CEST 2018,Wed Aug 08 02:15:37 CEST 2018,https://github.com/Alluxio/alluxio/pull/7719,aaudiber,6,27c7641af9204b01b3ab13c484061f533955e5d6,Alluxio:journal-state-refactor,df6c28702b526b0c87076cf69c7bc0197b0012dc,aaudiber:start-refactor,https://github.com/Alluxio/alluxio/pull/7719.diff,[SMALLFIX] [WIP] Refactor persist directory state change,14,0,aaudiber,TRUE,FALSE,TRUE,FALSE
