repo,isHasIssues,forksCount,openIssuesCount,totalClosedPrsCount,totalClosedIssuesCount,contributorsCount,commitsCount,watchers,size,createdAt,lastPushedAt,description
CyC2018/CS-Notes,TRUE,32906,56,474,368,211,3615,101134,111782,Tue Feb 13 15:56:24 CET 2018,Wed May 13 16:24:03 CEST 2020,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计、Java、Python、C++
Snailclimb/JavaGuide,TRUE,27120,30,392,360,142,2323,78908,19953,Mon May 07 15:27:00 CEST 2018,Sun May 17 15:23:58 CEST 2020,【Java学习+面试指南】 一份涵盖大部分Java程序员所需要掌握的核心知识。
iluwatar/java-design-patterns,TRUE,18546,178,674,381,189,2423,57755,20536,Sat Aug 09 18:45:18 CEST 2014,Sun May 17 20:44:55 CEST 2020,Design patterns implemented in Java
elastic/elasticsearch,TRUE,16713,2779,32663,21298,356,52508,48895,741616,Mon Feb 08 14:20:56 CET 2010,Sun May 17 22:20:15 CEST 2020,"Open Source, Distributed, RESTful Search Engine"
spring-projects/spring-boot,TRUE,29925,462,4174,16725,385,26618,47772,118963,Fri Oct 19 17:02:57 CEST 2012,Sun May 17 23:21:11 CEST 2020,Spring Boot
ReactiveX/RxJava,TRUE,7143,605,3427,2903,249,5742,42665,114981,Tue Jan 08 21:11:48 CET 2013,Fri May 15 12:33:28 CEST 2020,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.
google/guava,TRUE,8375,780,631,2486,236,5268,37315,283138,Thu May 29 18:23:17 CEST 2014,Sun May 17 06:47:49 CEST 2020,Google core libraries for Java
square/okhttp,TRUE,8035,141,2887,3013,201,4620,37065,35792,Mon Jul 23 15:42:55 CEST 2012,Sun May 17 20:03:14 CEST 2020,Square’s meticulous HTTP client for Java and Kotlin.
spring-projects/spring-framework,TRUE,24924,1125,2663,18610,392,20821,37024,155795,Wed Dec 08 05:04:45 CET 2010,Sun May 17 05:58:26 CEST 2020,Spring Framework
square/retrofit,TRUE,6529,118,981,2279,135,1833,35597,5410,Mon Sep 06 23:39:43 CEST 2010,Sun May 17 23:11:04 CEST 2020,"Type-safe HTTP client for Android and Java by Square, Inc."
apache/dubbo,TRUE,21053,656,2601,2895,301,4309,32289,28916,Tue Jun 19 09:56:02 CEST 2012,Sun May 17 04:36:36 CEST 2020,"Apache Dubbo is a high-performance, java based, open source RPC framework."
PhilJay/MPAndroidChart,TRUE,7886,1772,348,2780,67,2063,30685,21592,Fri Apr 25 16:29:47 CEST 2014,Sun May 17 07:52:15 CEST 2020,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations."
bumptech/glide,TRUE,5325,165,484,3566,110,2497,29038,65022,Tue Jul 09 00:52:33 CEST 2013,Sun May 17 17:31:37 CEST 2020,An image loading and caching library for Android focused on smooth scrolling
airbnb/lottie-android,TRUE,4613,57,415,1091,81,1191,28775,134224,Fri Oct 07 00:42:42 CEST 2016,Wed May 13 01:19:24 CEST 2020,"Render After Effects animations natively on Android and iOS, Web, and React Native"
Blankj/AndroidUtilCode,TRUE,8921,28,159,1054,27,1284,27033,46744,Sat Jul 30 20:18:32 CEST 2016,Thu May 07 11:43:20 CEST 2020,:fire: Android developers should collect the following utils(updating).
zxing/zxing,TRUE,8663,9,270,988,97,3531,25326,240184,Wed Oct 12 16:07:27 CEST 2011,Wed May 13 21:13:01 CEST 2020,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android"
JakeWharton/butterknife,TRUE,4727,114,461,1029,87,1001,25270,3861,Tue Mar 05 09:18:59 CET 2013,Thu May 14 04:26:57 CEST 2020,Bind Android views and callbacks to fields and methods.
crossoverJie/JCSprout,TRUE,6776,39,97,59,24,703,24642,1177,Sun Dec 17 10:06:50 CET 2017,Sun Apr 05 08:28:18 CEST 2020,"👨‍🎓 Java Core Sprout : basic, concurrent, algorithm "
TheAlgorithms/Java,TRUE,8766,401,776,135,178,999,24189,1751,Sat Jul 16 12:21:02 CEST 2016,Sat May 16 02:34:57 CEST 2020,All Algorithms implemented in Java
netty/netty,TRUE,11198,428,5151,4694,357,9864,23535,62318,Tue Nov 09 10:22:21 CET 2010,Sun May 17 11:38:14 CEST 2020,Netty project - an event-driven asynchronous network application framework
