Mapping To Taxonomy Leafs,Mapping To Taxonomy Leaf ID,Mapped To Taxonomy-Root Category,Rejection Reasons
"Do not follow PR process,  Are stylistic changes with no clear benefit","P6, C5","Contributor, Risky or with Limited/Unclear benefits","""Stylistic choices""
 Non adherence to the general project's development guidelines"
"Introduce bugs/break APIs/breaks compatibility, Bring potential risks which outweigh their value","C8, C2","Negative Effect On Functional/Non Functional Software Properties, Bring potential risks which outweigh their value, Risky or with Limited/Unclear benefits","* Breaks backward compatibility

This pertains to open source:

* Contributors come and go usually only submitting a PR to handle their own specific use case.  Reviewers are usually maintainers of the project.  Any significant refactoring means that an area of the codebase that was once fully understood by many, is now fully understood only by the contributor.  In thiscase, the refactoring is going to have to be really good to be accepted."
"Do not adhere to coding conventions, Require high review cost/Do not have available reviewers, Do not add value in the eyes of customer","P14, C13, C3","Negative Effect On Functional/Non Functional Software Properties, Reviewer, Risky or with Limited/Unclear benefits","* Lack of time to review thoroughly (due to upcoming deadline/end of sprint)
* Don't add functional value from the customer/CEO perspective
* Controversial code style"
"Are too large, Are not in the community interest, Do not implement recommended changes, Decrease readability/understandability,Need to be properly commented/documented, Do not fully address the code quality issues","P12,C6,P7, C11, C26, C25","PR size and content,Risky or with Limited/Unclear benefits, Contributor, Negative Effect On Functional/Non Functional Software Properties, Additional work needs to be performed, Additional work needs to be performed","* touches too many files
* reviewer is uncomfortable with generics
* contains a mix of refactoring plus other changes
* needlessly renames variables
* doesn't address unrelated issues ""while you're in there"" e.g. if you touch it, you should add missing javadocs, clean up compiler warnings, etc at the same time
* will make it harder to backport fixes between branches with and without the refactoring"
"Do not have upfront contact/discussion, Are inactive: (author/community)","P20, P19","Planning, Planning","1. lack of discussion of the refactoring plan
    The contributor should have a discussion with maintainers **before** submitting a refactoring PR. Maintainers may not like contributors who send lots of changes without talking to them before.
2. too many 'reject & resubmit'
    Endless 'request changes' usually ruin the contributor's patience, leaving the proposed refactoring discontinued.
"
"Are driven by abstract beauty but not by real code change requirements, Do not add value in the eyes of customer, Are not in the community interest, Require high review cost/Do not have available reviewers","C14, C3, C6, P14","Negative Effect On Functional/Non Functional Software Properties, Risky or with Limited/Unclear benefits, Risky or with Limited/Unclear benefits, Reviewer","1. Subjective design
2. Refactoring makes the old code alien to the initial author too as well as to the other developers.
3. Steal developers' time that has to review the refactoring but brings no immediate business value and only subjective long-term values.
"
"Need additional testing, Lead to disagreement on overall benefit of refactoring","C24, C4","Additional work needs to be performed, Risky or with Limited/Unclear benefits","1) Test coverage. Often, older code being refactored is ""ugly"", may not have great test coverage, but is battle-tested in production. The newer refactored code isn't battle-tested, so it needs more automated test coverage to compensate.

2) Clear benefit, such as improved readability, testability, modularity, or extensibility. Sometimes the benefits of a refactor are subjective, and there is not consensus that the new version is actually an improvement."
,,,"Above list is pretty comprehensive, can't think of any other reason."
Bring potential risks which outweigh their value,C2,Risky or with Limited/Unclear benefits,"Any of these reasons might apply, but there are always tradeoffs, depending on the original goal of the refactoring."
"Bring potential risks which outweigh their value, Negative Effect On Functional/Non Functional Software Properties","C2, C10","Risky or with Limited/Unclear benefits, Negative Effect On Functional/Non Functional Software Properties",Architecture level refactoring often introduce conflict of cost(both money and time) that has ambiguous ROI because return is ofthen based on assumptions. Module level refactoring often has problems with non-functional requarements such as robustnes because it is very hard to cover them in integration testing. Function level refactoring again have problems with non functional requarements because of level of test coverage and risk of accumulated bugs.
"Bring potential risks which outweigh their value, Are too large, Do not adhere to coding conventions, Contain problematic exception handling, Need additional testing, Generated automatically are not considered valuable","C2, P11, C13, C21, C24, C1","Risky or with Limited/Unclear benefits, PR size and content, Negative Effect On Functional/Non Functional Software Properties, Poor design and implementation decisions, Additional work needs to be performed, Risky or with Limited/Unclear benefits","As for a financial application, security has top priority. If a refactoring is too large/complex it carries some risk to break the existing project and that is a main reason why we reject PRs. Other reasons is when devs introduce different style/patterns/exc handling as used in the project. We usually recommend devs to break up PRs to small chunks doing small and easy to review changes which limits risks to break things. Best is also to add tests to ensure the existing beahviour has not changed by the refactoring. Pure technical refacotrings (or automated renaming over many classes) are not considered valueable as they inroduce more effort for the reviewer as if he would do the change himself. The trust into a new dev is lower than into a maintainer, so such refactorings are better done by maintainers themself to limit risk exposure (malicious dev tries to inject some change by burying it in a mass of changes in the hope it get overlooked). 
"
Do not implement recommended changes,P7,Contributor,Author ignoring comments.
"Opt for personal preferences over measured quality increase, Are too large","P9, P12","Contributor, PR size and content","Bulk changes wo/ benefit, personal preferences over measured quality increase"
"Are too large, Are not in the community interest, Bring potential risks which outweigh their value","P12, C6, C2","PR size and content, Risky or with Limited/Unclear benefits, Risky or with Limited/Unclear benefits","Change is too big (many projects do not like changes for fear of breaking something and prefer incremental changes, even if they lead to worse code).
Changes are not understood (code contributed by contributors not here anymore)."
Conflict with planned code changes,C7,Risky or with Limited/Unclear benefits,conflict with planned code changes.
Have reviewers who do not focus on long-term benefits or sustainability of software quality,P17,Reviewer,"Decision maker does not understand the purpose and ""enabling"" role of the change
in order to affect longer-term changes beneficial for the project, or simply does not care about sustaining software quality.
"
"Bring potential risks which outweigh their value, Reviewer","C2, P14","Risky or with Limited/Unclear benefits, Reviewer","Disagreement over whether ""hacky"" solutions are justified to fix small problems in an unorthadox manner, or whether the mere presence of hacky solutions showcases fundamental problems with design philosophy and are thus rejected regardless of effectiveness. Often perfect is the enemy of good enough and results in wasting time for no practical benefit, but death by a thousand papercuts may emerge if hacky solutions are not effectively managed depending on the codebase. Individual reviews may arbitrarily have different decisions on acceptibility here."
Are too large,P12,PR size and content,"from the questions phrasing it is unclear if you ask whether these are common reason to rejection or a justified reason for rejection.
 I interpreted them as justified reasons.
 Another rejection reason is too big refactoring."
Have reviewers who are unwilling to review and accept major code change,P15,Reviewer,General unwillingness to review and accept major code changes
Have reviewers who negatively perceive changes to code they own,P17,Reviewer,I believe the resistance to accepting refactoring PRs owes a lot to the https://en.wikipedia.org/wiki/Curse_of_knowledge ... i.e. that those reviewing the PR already understand how the existing code works through experience and therefore find it difficult to see weaknesses in the design pertaining to the code's readability to fresh eyes. This may cause them to underestimate the value of a PR which makes things more understandable to a consumer of the public APIs.
,,,I believe this table tacked every issue beautifully :)
"Do not consider code ownership and licensing issues, Do not implement recommended changes, Need additional testing, Need to be properly commented/documented","P8, P7, C24, C26","Contributor, Contributor, Additional work needs to be performed, Additional work needs to be performed","I don't have the time to fullfill all formal requirements like signing an contributer agreement, have 100% code  coverage and document everything with complete javadoc."
"Require high review cost/Do not have available reviewers, Are inactive: (author/community)","P14, P19","Reviewer, Planning","I experienced a lot of times that the authors want to get paid to review and merge PRs. 
Typically as a freelancer I commit to OSS software that is used by my customer and has bugs. If the author want to get paid for every PR this usually ends in a fork and you never upstream your changes anymore. You really have to work for a very open minded company to enforce upstream changes."
Have reviewers who are unwilling to review and accept major code change,P17,Reviewer,I have twice made refactoring pull requests where the reviewer was also a core developer for the code being refactored. Both times the requests met resistance that could be attributed to the reviewer being unwilling to accept that the original design had major flaws. It would have been better if a person without investment in that part of the code had acted as an independent mediator.
,,,I haven't seen enough of these to answer this question but pretty much all of the answers are valid reasons to reject a PR.
"Need additional testing, Need to be properly commented/documented","C24, C26","Additional work needs to be performed, Additional work needs to be performed","I missed some very important points, why PR might be rejected:

- Missing documentation for new features
- Missing tests"
Are stylistic changes with no clear benefit,C5,Risky or with Limited/Unclear benefits,"I question the entire premise of the survey. Perhaps you should start by surveying how prevalent this ""problem"" is. 

I don't think refactorings are ""often"" rejected. 

Doing things like changing the test suite to accommodate a ""refactoring"" will clearly cause something to be rejected. Stylistic changes with no clear benefit are at risk of getting rejected."
Are contributed by developers without good reputation,P10,Contributor,"I think that PRs could have implicit value based on the perceived authority of the owner of that PR. In the other words, more respected developers tend to have more approved PRs because reviewers might often just trust the PR author because ""He/She knows what he/she is doing. I trust them. LGTM/Approval. Now let's have a pizza already.""
IMHO, increasing the number of reviewers might help to mitigate that risk."
Have reviewers who negatively perceive changes to code they own,P16,Reviewer,"I think this is missing the most common reason I’ve seen: ego. Often refactoring changes are rejected because the original author of the code is attached to it and perceives any change as negative, regardless of the change itself."
"Are too large, Are inactive: (author/community)","P12, P19","PR size and content, Planning","If the change contains too many manually performed refactorings, it is hard to review it. Often the change is not directly rejected, but nobody wants to review the change and it becomes stale."
"Do not have upfront contact/discussion, Lead to disagreement on overall benefit of refactoring, Are not in the community interest","P17, C4, C6","Reviewer, Risky or with Limited/Unclear benefits, Risky or with Limited/Unclear benefits","If we are talking about open source project, a PR can be rejected because the developer creating the PR did not communicate with the team in charge of the project. 
- Maybe that bug/feature/refactoring was assigned to somebody else. 
- Maybe that bug/feature/refactoring is not needed or has not been discussed within the project.

I have also seen some PR rejected because it introduces a new programming language (like Kotlin, when the whole project is in Java)"
"Are not in the community interest, Require high review cost/Do not have available reviewers","C6, P14","Risky or with Limited/Unclear benefits, Reviewer","In general, developers still feel these are lower priority than new functionality.  Many co-workers feel they do not have enough time."
"Require high review cost/Do not have available reviewers, Lead to disagreement on overall benefit of refactoring","P14, C4","Reviewer, Risky or with Limited/Unclear benefits","In my experience, unsolicited refactoring contributions are typically rejected due to: (1) the effort required from maintainers to review the changes, given limited availability; (2) the maintainer considers them of little value since they don't fix bugs or introduce new features; (3) maintainers believe they pollute the version history."
Do not add value in the eyes of customer,C3,Risky or with Limited/Unclear benefits,"In the eyes of the stakeholder/customer refactoring code does not add value. Thus also no time is given to refactoring, as there are ""more urgent things"" to do on the already stretched deadlines."
Include unnecessary files/non-code refactoring,P13,PR size and content,"Including IDE specific configuration files into a .gitignore,"
Lead to disagreement on overall benefit of refactoring,C4,Risky or with Limited/Unclear benefits,Increased readability added by refactoring commit was not regarded as important enough to take the time to deliver the change.
Need additional testing,C24,Additional work needs to be performed,"Insufficient automated test coverage to demonstrate the proposed contribute does not change the current behavior. If this is the case, tests should be written and contributed against the unmodified code base."
Include unnecessary files/non-code refactoring,P13,PR size and content,Introduced 3rd party component where it wasn't necessary.
Lead to disagreement on overall benefit of refactoring,C4,Risky or with Limited/Unclear benefits,It is not high priority
"Require high review cost/Do not have available reviewers, Lead to disagreement on overall benefit of refactoring, Need additional testing","P14, C4, C24","Reviewer, Risky or with Limited/Unclear benefits, Additional work needs to be performed",It is not sponsored by most companies and thus lacks support budgets for thorough testing
,,,"JetBrains doesn't use GitHub's infrastructure for accepting proposed pull-requests, they simply cherry-pick commits of a pull-request and reject it on GitHub. All the commits eventually end up in Intellij IDEA's code base"
Require high review cost/Do not have available reviewers,P14,Reviewer,Lack of good maintainers. The most typical reason is desire to keep status quo.
"Need to be properly commented/documented, Lead to disagreement on overall benefit of refactoring","C26, C4","Additional work needs to be performed, Risky or with Limited/Unclear benefits",Lack of suitable documentation / Doesn't improve documentation while simultaneously upending other developer's mental models.
"Are too large, Bring potential risks which outweigh their value, Are inactive: (author/community)","P12, C2, P19","PR size and content, Risky or with Limited/Unclear benefits, Planning",Large changes are hard to review so reviewers hesitate from reviewing. After sometime proposed changes stale either due to codebase moving forward or lose of interest and enthusiasm from contributor.
"Lead to disagreement on overall benefit of refactoring, Require high review cost/Do not have available reviewers","C4, P14","Risky or with Limited/Unclear benefits, Reviewer","Most refactorings we ever considered in my team were rejected before they were implemented: Architects and Engineers would agree that they are important, but there's not enough budget for non-functional changes."
Lead to disagreement on overall benefit of refactoring,C4,Risky or with Limited/Unclear benefits,No clear reason or value given.
"Do not have upfront contact/discussion, Are too large, Need additional testing","P20, P12, C24","Planning, PR size and content, Additional work needs to be performed","No upfront contact or discussion 

Too large PRs
No tests
"
"Are too large, Bring potential risks which outweigh their value","P12, C2","PR size and content, Risky or with Limited/Unclear benefits","Not done incrementally, such that there is an enormous amount of code change that the reviewer has no reasonable chance of confirming the changes to be safe and without side-effects."
"Are too large, Bring potential risks which outweigh their value","P12, C2","PR size and content, Risky or with Limited/Unclear benefits","often it is simply due to the footprint of the change is too large and seems ""risky"" to introduce especially when it is getting close to release deadline"
Do not adhere to coding conventions,C13,Negative Effect On Functional/Non Functional Software Properties,Primarily due to conflicting team conventions. Where at the contributor is under the assumption their refactoring approach works along with already in place coding style/conventions.
Change,P1,Change,Projects I work on are really refactoring-friendly. We would love to do the refactoring but the main issue is that there is almost no time for it.
Have subjective value or unclear goals,C3,Risky or with Limited/Unclear benefits,Proper explanation of the rationale behind the pull request.
"Introduce bugs/break APIs/breaks compatibility, Do not have upfront contact/discussion","C8, P20","Negative Effect On Functional/Non Functional Software Properties, Planning","Refactoring by definition is to improve an aspect of the software without changing function. Rejected refactoring usually accidentally change functionality, a mistake that can be detected during review before the work is accepted.

The biggest obstacle to reacting related contributions is communication. "
